,Date,Species,PreCaudalLength,ForkLength,TotalLength,ClasperOut,ClasperIn,MouthWidth,ExternalDartTag,V16SerialNumber,Code_Space,V16IDNumber,Sex,Transmitter,Time,GeneralLocation,Latitude,Longitude,Remarks
1,3/8/2014,C. limbatus,122,135,168,13,17,,359840,1183235,A69-9001-,25504,Male,A69-9001-25504,11:45,"Singer Island, FL -5miles off shore",26.82185833,-80.030875,none
2,3/8/2014,C. limbatus,124,134,170,14,18,,359841,1183236,A69-9001-,25505,Male,A69-9001-25505,12:00,"Singer Island, FL -5miles off shore",26.82185833,-80.030875,none
4,3/9/2014,C. limbatus,117,129,160,13,18,,358213,1183222,A69-9001-,25491,Male,A69-9001-25491,11:45,"Singer Island, FL -5miles off shore",26.82474167,-80.029775,none
3,3/9/2014,C. limbatus,130,141,176,14,18,,358204,1183234,A69-9001-,25503,Male,A69-9001-25503,11:00,"Singer Island, FL -5miles off shore",26.82027569,-80.01688514,none
5,3/20/2014,C. limbatus,125,139,169,14,18,,359842,1183224,A69-9001-,25493,Male,A69-9001-25493,10:45,"Just north of Boynton Inlet, FL",26.55479167,-80.04786111,none
6,3/23/2014,C. limbatus,130,145,173,14,20,,358203,1183226,A69-9001-,25495,Male,A69-9001-25495,11:35,"John D. Mcarthur Park, FL -5miles off shore",26.82454167,-80.03643056,none
8,3/23/2014,C. limbatus,130,145,170,14,21,,359835,1183228,A69-9001-,25497,Male,A69-9001-25497,12:20,"John D. Mcarthur Park, FL -5miles off shore",26.82454167,-80.03643056,none
9,3/23/2014,C. limbatus,138,152,175,13,20,,359836,1183230,A69-9001-,25499,Male,A69-9001-25499,13:15,"John D. Mcarthur Park, FL -5miles off shore",26.82454167,-80.03643056,none
7,3/23/2014,C. limbatus,132,145,174,15,20,,359844,1183232,A69-9001-,25501,Male,A69-9001-25501,12:10,"John D. Mcarthur Park, FL -5miles off shore",26.82454167,-80.03643056,none
10,3/23/2014,C. limbatus,138,152,176,14,20,,359837,1183233,A69-9001-,25502,Male,A69-9001-25502,13:35,"John D. Mcarthur Park, FL -5miles off shore",26.82454167,-80.03643056,none
12,2/24/2015,C. limbatus,110,121,157,15,17,No Data,351049,1183229,A69-9001-,25498,Male,A69-9001-25498,No Data,"John D. Mcarthur Park, FL -5miles off shore",26.818625,-80.03458333,
11,2/24/2015,C. limbatus,130,142,177,12,20,No Data,351046,1183231,A69-9001-,25500,Male,A69-9001-25500,No Data,"John D. Mcarthur Park, FL -5miles off shore",26.818625,-80.03458333,
14,3/6/2015,C. limbatus,128,138,175,15,20,No Data,351040,1203470,A69-9001-,23324,Male,A69-9001-23324,No Data,"John D. Mcarthur Park, FL -5miles off shore",26.82459722,-80.03656944,intubation pump used; surgery in water
13,3/6/2015,C. limbatus,134,144,178,14,18,No Data,358219,1203479,A69-9001-,23333,Male,A69-9001-23333,No Data,"John D. Mcarthur Park, FL -5miles off shore",26.82459722,-80.03656944,intubation pump used; surgery in water
18,3/12/2015,C. limbatus,132,149,170,12,18,No Data,358192,1203472,A69-9001-,23326,Male,A69-9001-23326,,"John D. Mcarthur Park, FL -5miles off shore",26.81859722,-80.03498611,strong release swim
20,3/12/2015,C. limbatus,136,150,177,14,20,No Data,ÔAÕ,1203476,A69-9001-,23330,Male,A69-9001-23330,,"John D. Mcarthur Park, FL -5miles off shore",26.81859722,-80.03498611,strong release swim
19,3/12/2015,C. limbatus,134,146,185,14,20,No Data,358191,1203477,A69-9001-,23331,Male,A69-9001-23331,,"John D. Mcarthur Park, FL -5miles off shore",26.81859722,-80.03498611,strong release swim
17,3/12/2015,C. limbatus,134,148,175,13,19,No Data,358190,1183223,A69-9001-,25492,Male,A69-9001-25492,,"John D. Mcarthur Park, FL -5miles off shore",26.81859722,-80.03498611,strong release swim
16,3/12/2015,C. limbatus,130,145,174,13,18,No Data,358193,1183225,A69-9001-,25494,Male,A69-9001-25494,,"John D. Mcarthur Park, FL -5miles off shore",26.81859722,-80.03498611,strong release swim
15,3/12/2015,C. limbatus,140,153,186,13,19,No Data,358216,1183227,A69-9001-,25496,Male,A69-9001-25496,,"John D. Mcarthur Park, FL -5miles off shore",26.81859722,-80.03498611,strong release swim
22,3/15/2015,C. limbatus,126,136,168,13.5,19,No Data,365346,1203480,A69-9001-,23334,Male,A69-9001-23334,9:39,"John D. Mcarthur Park, FL -5miles off shore",26.81908333,-80.03504167,strong release swim
21,3/15/2015,C. limbatus,135,143,184,14,20,No Data,365345,1203485,A69-9001-,23339,Male,A69-9001-23339,9:07,"John D. Mcarthur Park, FL -5miles off shore",26.81908333,-80.03504167,cloacal bleeding; strong swim release
